episode_id,create_time,avg_score,min_score,sum_score,agent_count,size_bytes
88887920,2026-07-30T00:01:25.9742770,1209.301276,1202.535731,2418.602551,2,7141825
88899921,2026-07-30T01:45:48.8181551,1207.844488,1202.312896,2415.688975,2,4361676
88895365,2026-07-30T01:05:31.8771320,1206.827637,1190.815955,2413.655274,2,4955312
88914789,2026-07-30T03:57:50.3416532,1205.112874,1196.879282,2410.225748,2,6472787
88890747,2026-07-30T00:25:33.9200161,1204.701412,1195.106080,2409.402825,2,5246357
88891291,2026-07-30T00:29:33.1341974,1204.701412,1199.917874,2409.402825,2,4046021
88894524,2026-07-30T00:57:30.0257989,1204.594837,1184.202023,2409.189674,2,8125188
88899462,2026-07-30T01:41:49.2383189,1204.326612,1190.439105,2408.653224,2,3822328
88900816,2026-07-30T01:53:48.8432040,1203.966430,1203.060628,2407.932859,2,5451250
88895399,2026-07-30T01:05:31.9737590,1203.225927,1179.745702,2406.451854,2,6089463
88920902,2026-07-30T04:50:18.5426478,1201.391309,1190.426478,2402.782618,2,4324976
88894495,2026-07-30T00:57:29.8607744,1201.299029,1181.575859,2402.598057,2,4511487
88901352,2026-07-30T01:57:49.6540460,1200.992660,1200.252346,2401.985321,2,3917989
88903827,2026-07-30T02:21:50.0519019,1200.916843,1186.633719,2401.833686,2,2963558
88889746,2026-07-30T00:17:31.6154375,1200.019517,1191.966347,2400.039035,2,5673404
88925828,2026-07-30T05:34:15.6081213,1200.012005,1194.301371,2400.024010,2,7660349
88922483,2026-07-30T05:06:12.5553753,1199.696016,1188.311665,2399.392032,2,4515597
88898065,2026-07-30T01:29:44.4715828,1198.082577,1185.806760,2396.165154,2,2749753
88902283,2026-07-30T02:05:48.7107950,1198.034258,1187.272222,2396.068516,2,5128926
88889856,2026-07-30T00:17:32.3281391,1197.879879,1183.525382,2395.759757,2,7151077
88888421,2026-07-30T00:05:26.3388547,1197.725697,1189.474020,2395.451394,2,1144262
88927218,2026-07-30T05:46:16.0748804,1197.194402,1195.500339,2394.388805,2,6070970
88892652,2026-07-30T00:41:34.1478650,1196.826809,1189.528639,2393.653619,2,5807153
88893512,2026-07-30T00:49:32.6985186,1196.465417,1182.619295,2392.930834,2,5397918
88893073,2026-07-30T00:45:30.2458308,1196.465417,1181.496448,2392.930834,2,5397224
88893503,2026-07-30T00:49:32.6688186,1196.465417,1177.485475,2392.930834,2,7241143
88887914,2026-07-30T00:01:25.9711643,1196.465030,1182.018696,2392.930061,2,6373587
88929455,2026-07-30T06:06:15.6480320,1196.356240,1195.645125,2392.712481,2,5001256
88938514,2026-07-30T07:26:08.0794043,1195.699195,1193.815958,2391.398390,2,2456687
88932197,2026-07-30T06:30:16.8522378,1195.109527,1190.649935,2390.219054,2,3551963
88891674,2026-07-30T00:33:32.2417803,1194.872166,1190.055253,2389.744331,2,5114190
88891771,2026-07-30T00:33:32.4098493,1194.872166,1185.242290,2389.744331,2,3933194
88928106,2026-07-30T05:54:15.9602020,1194.477724,1190.975142,2388.955448,2,4805200
88935414,2026-07-30T06:58:13.0777642,1194.300019,1193.443960,2388.600037,2,2754146
88900819,2026-07-30T01:53:48.8443921,1194.064180,1187.870318,2388.128361,2,4648915
88938993,2026-07-30T07:30:25.3154703,1192.694434,1188.284350,2385.388869,2,3704678
88933037,2026-07-30T06:38:12.4391466,1192.139315,1188.184365,2384.278629,2,3853199
89002496,2026-07-30T16:53:26.9176586,1191.893461,1163.635263,2383.786923,2,7342515
88889518,2026-07-30T00:13:28.9218647,1191.835713,1170.671778,2383.671427,2,4456553
88932151,2026-07-30T06:30:16.3491113,1191.787011,1188.755465,2383.574022,2,4161832
88897633,2026-07-30T01:25:32.7098090,1191.201155,1176.274169,2382.402311,2,8996960
88918165,2026-07-30T04:25:49.3731109,1190.720753,1173.359123,2381.441506,2,6611775
88936660,2026-07-30T07:10:19.5257883,1190.231917,1178.384259,2380.463834,2,4913282
88897635,2026-07-30T01:25:32.7131808,1189.800639,1186.844293,2379.601278,2,4025418
88935429,2026-07-30T06:58:13.1179274,1189.012955,1178.578421,2378.025910,2,4364150
88937201,2026-07-30T07:14:09.8610093,1188.538868,1186.591480,2377.077736,2,5978342
88928541,2026-07-30T05:58:14.5545514,1188.511568,1184.794153,2377.023136,2,3961571
88888909,2026-07-30T00:09:27.4444556,1188.307782,1181.140967,2376.615564,2,6802559
88938634,2026-07-30T07:26:08.2185036,1187.897828,1183.185413,2375.795655,2,5937610
88918442,2026-07-30T04:29:49.9166421,1186.946433,1170.930958,2373.892865,2,5447428
88931157,2026-07-30T06:22:12.6591971,1186.896399,1185.188254,2373.792798,2,5014587
88915370,2026-07-30T04:01:51.4803490,1186.752908,1185.966935,2373.505816,2,2288134
88912584,2026-07-30T03:37:51.3570019,1186.192920,1181.278736,2372.385839,2,2559030
88898519,2026-07-30T01:33:49.4349355,1186.172446,1167.495828,2372.344891,2,5122802
88895353,2026-07-30T01:05:31.8488983,1186.027061,1179.863178,2372.054121,2,4145112
88939998,2026-07-30T07:38:08.9241771,1185.401150,1171.650699,2370.802299,2,409027
88931684,2026-07-30T06:26:12.3184484,1184.920324,1183.991159,2369.840648,2,4475446
88907867,2026-07-30T02:57:48.2358435,1184.886306,1183.500930,2369.772612,2,5185204
88896251,2026-07-30T01:13:30.9460502,1184.867682,1181.762793,2369.735365,2,4879638
88915735,2026-07-30T04:05:50.6345861,1184.683542,1178.936171,2369.367085,2,478522
88946861,2026-07-30T08:38:08.6172140,1184.564844,1171.319165,2369.129689,2,3122879
88898590,2026-07-30T01:33:49.6180020,1184.525303,1155.014591,2369.050606,2,5493056
89028345,2026-07-30T20:52:43.3332828,1183.506524,1178.145702,2367.013049,2,3190229
88917663,2026-07-30T04:21:49.2415298,1183.472408,1172.244580,2366.944815,2,3106664
88949581,2026-07-30T09:02:13.9518904,1183.472123,1176.217878,2366.944246,2,4978733
88889891,2026-07-30T00:17:32.4219803,1183.342904,1150.865217,2366.685808,2,6335343
